known_id,subject,attribute,template,prediction,prompt,relation_id,category,output,correct
849,Gabrielle Fontan,French,The native language of {} is," French.

Contents show]

Appearance",The native language of Gabrielle Fontan is,P103,language/nationality, french. she is,1
851,Kauniainen,Finnish,"In {}, the language spoken is"," Finnish, and the people are mostly Finnish-speaking","In Kauniainen, the language spoken is",P37,language/nationality," finnish, which",1
852,Pitkevitch Glacier,Antarctica,{} belongs to the continent of, Antarctica. It is the largest glacier in the world,Pitkevitch Glacier belongs to the continent of,P30,continent, antarctica.,1
855,Francis de Sales,bishop,{} holds the position of," the first bishop of the English Church, and was",Francis de Sales holds the position of the first,P39,religious title, bishop of annecy,1
856,Jervis Inlet,Canada,{} is located in the country of," Canada, and is the largest of the three major",Jervis Inlet is located in the country of,P17,country," canada, in the",1
858,Melilla,Africa,{} belongs to the continent of," Africa, and is the largest city in the Spanish",Melilla belongs to the continent of,P30,continent, africa. it is,1
860,Pervez Musharraf,Islam,{} follows the religion of," Islam.

The former president of Pakistan,",Pervez Musharraf follows the religion of,P140,religion, islam and is a,1
861,"North Middlesex, Ontario",Canada,{} is located in the country of, Canada. It is a city of about 1.,"North Middlesex, Ontario is located in the country of",P17,country," canada.

",1
862,Vale of Glamorgan,Wales,"{}, in"," Wales, has been named the UK's most expensive","Vale of Glamorgan, in",P131,country, wales. it is,1
864,United Continental Holdings,Chicago,The headquarter of {} is in," Chicago.

United Continental Holdings is a major",The headquarter of United Continental Holdings is in,P159,city," chicago, illinois.",1
865,Weimar Republic,Berlin,"{}'s capital,"," Berlin, was the first German city to be bombed","Weimar Republic's capital,",P36,city," berlin, was a",1
867,Simon McCoy,BBC,{} is employed by, the BBC as a freelance writer. He is the,Simon McCoy is employed by the,P108,company, bbc as a news,1
868,RioCan Real Estate Investment Trust,Toronto,{} is headquartered in," Toronto, Canada. The company is a leading real",RioCan Real Estate Investment Trust is headquartered in,P159,city," toronto, ontario,",1
869,Wednesday Night Baseball,ESPN,{} premieres on," ESPN on Wednesday, April 4 at 8:00",Wednesday Night Baseball premieres on,P449,company," espn
es",1
870,Thailand,Asia,{} belongs to the continent of," Asia, and the Thai people are a very proud",Thailand belongs to the continent of,P30,continent," asia.
th",1
873,France Dimanche,French,{} is written in," the French language and is available in French, English",France Dimanche is written in the,P407,language/nationality, french language and is,1
874,Ukraine,Kiev,"{}'s capital,"," Kiev, and the eastern city of Donetsk.
","Ukraine's capital,",P36,city," kiev, on",1
875,Babur,Islam,{} is affiliated with the religion," of Islam.

The incident took place in",Babur is affiliated with the religion of,P140,religion, islam and is considered,1
876,Soviet Air Defence Forces,Moscow,The headquarter of {} is in," Moscow.

The Soviet Union was the first",The headquarter of Soviet Air Defence Forces is in,P159,city," moscow.

",1
877,State of Brazil,Portuguese,"In {}, the language spoken is"," Portuguese.

The city of Rio de Janeiro","In State of Brazil, the language spoken is",P37,language/nationality," portuguese, which is",1
878,Panagarh,India,{} is located in the country of," India, in the state of Uttar Pradesh. The",Panagarh is located in the country of,P17,country, india. use the,1
881,Xeon,Intel,{} is developed by, Intel and is the first processor to support the new,Xeon is developed by,P176,company, intel and is used,1
883,"Medical College and Hospital, Kolkata",India,{} is located in the country of, India. It is the largest medical college in the,"Medical College and Hospital, Kolkata is located in the country of",P17,country, india. it is,1
885,Maurice Bellemare,Canada,{} has a citizenship of," Canada and a French passport.

The Canadian",Maurice Bellemare has a citizenship of,P27,country," canada.
m",1
888,Caterina Davinio,Italy,"{}, who has a citizenship of"," Italy, was arrested in the US in May.","Caterina Davinio, who has a citizenship of",P27,country," italy and brazil,",1
889,Antonio Vivaldi,violin,{} plays," the violin in the orchestra.

The orchestra",Antonio Vivaldi plays the,P1303,musical instrument, violin in a,1
890,Sakichi Toyoda,Japan,{} is a citizen of, Japan. He is a member of the Japanese Communist,Sakichi Toyoda is a citizen of,P27,country, japan. he is,1
891,Adam Schefter,ESPN,"{}, of"," ESPN, said the Patriots were ""very confident""","Adam Schefter, of",P108,company," espn, reports",1
892,Le Petit Parisien,French,{} is written in," French, and the French version is available on the",Le Petit Parisien is written in,P407,language/nationality, french and is a,1
894,Mathieu de Montmorency,French,The native language of {} is," French.

Contents show]

Bi",The native language of Mathieu de Montmorency is,P103,language/nationality," french, but he",1
895,Pierre Daniel Huet,French,The native language of {} is," French.

Pierre Daniel Huet was born",The native language of Pierre Daniel Huet is,P103,language/nationality," french.

",1
896,Pierre Lescure,French,The native language of {} is," French.

Pierre Lescure was born",The native language of Pierre Lescure is,P103,language/nationality," french.

",1
897,Dan Le Batard,ESPN,{} is employed by, ESPN.com. He is a contributor to ESPN,Dan Le Batard is employed by,P108,company," espn, which",1
900,Polish Socialist Party,Warsaw,{}'s headquarters are in," Warsaw, Poland.

The party's leader",Polish Socialist Party's headquarters are in,P159,city," warsaw.
",1
901,Ryan Smyth,hockey,{} professionally plays the sport," of hockey. He has played in the NHL,",Ryan Smyth professionally plays the sport of,P641,sport, ice hockey. he,1
903,Killer Mike,Atlanta,{} is native to," Atlanta, Georgia, and has been a fixture in",Killer Mike is native to,P19,city," atlanta, georgia,",1
904,CERN,Geneva,{} is located in," Geneva, Switzerland.

The CERN laboratory",CERN is located in,P276,city," geneva, switzerland",1
906,Bundesautobahn 6,Germany,"{}, by"," the way, is the most popular route in Germany","Bundesautobahn 6, by the way, is the most popular route in",P127,country," germany, connecting the",1
907,The Leftovers,HBO,{} was released on," HBO on Sunday, and it's already been renewed",The Leftovers was released on,P449,company, hbo in ,1
909,Ylvis,Norway,{} was created in the country of," their birth, Norway, in the early 1990s","Ylvis was created in the country of their birth,",P495,country, norway. the du,1
911,Pius III,Rome,{} died in the city of," Rome on April 3, 1453. He was",Pius III died in the city of,P20,city, rome on october ,1
912,iPhone 1,Apple,{} is developed by, Apple Inc. and is manufactured by Foxconn Technology,iPhone 1 is developed by,P176,company, apple inc. and,1
915,Mir Damad,Islam,{} is affiliated with the religion," of Islam.

The incident took place in",Mir Damad is affiliated with the religion of,P140,religion, islam and is a,1
917,The Coca-Cola Company,Atlanta,{} formed in," 1886 and is headquartered in Atlanta, Georgia. The",The Coca-Cola Company formed in 1886 and is headquartered in,P740,city," atlanta, georgia.",1
918,Khedivate of Egypt,Cairo,"{}'s capital,"," Cairo, said the country's military had ""t","Khedivate of Egypt's capital,",P36,city," cairo, was",1
919,Amos Tversky,psychology,{} works in the area of, cognitive psychology and is a professor of psychology at the,Amos Tversky works in the area of cognitive,P101,academic discipline, psychology and decision,1
920,Canton of Fribourg,French,"In {}, the language spoken is"," French.

The city of Geneva, Switzerland","In Canton of Fribourg, the language spoken is",P37,language/nationality," french.

",1
921,Edward Gibbon,history,{}'s domain of work is, the history of the Roman Empire. He was a,Edward Gibbon's domain of work is the,P101,academic discipline, history of the roman,1
923,Outlook.com,Microsoft,{}'s owner,", Microsoft, has been accused of using a ""","Outlook.com's owner,",P127,company," microsoft, has announced",1
924,Der kleine Vampir,German,The original language of {} is," a Germanic language, and the original language of",The original language of Der kleine Vampir is a,P364,language/nationality," german language.
",1
926,Inuyasha,Japan,{} was created in the country of," Japan, and is the son of the demon king",Inuyasha was created in the country of,P495,country, japan and is a,1
928,Ni es lo mismo ni es igual,Spanish,The language of {} was, used by the Spanish conquistadors to describe,The language of Ni es lo mismo ni es igual was used by the,P407,language/nationality, spanish poet and play,1
929,Windows Internet Explorer 8,Microsoft,{} is developed by, Microsoft Corporation. It is a web browser that is,Windows Internet Explorer 8 is developed by,P178,company, microsoft and is available,1
930,Sangamam,India,{} was created in the country of," India, and is the only one of the three",Sangamam was created in the country of,P495,country," india.

",1
931,Eiko Shimamiya,Japan,{} is a citizen of, Japan. She is a freelance writer and translator.,Eiko Shimamiya is a citizen of,P27,country, japan who was born,1
934,Active Server Pages,Microsoft,"{}, a product developed by"," Microsoft, is a server-side solution that allows","Active Server Pages, a product developed by",P178,company," microsoft, is a",1
935,Mount Discovery,Antarctica,{} is located in the continent, of Antarctica. It is the largest and most remote,Mount Discovery is located in the continent of,P30,continent, antarctica.,1
936,Florida Championship Wrestling,WWE,{} is owned by," the WWE, and the company has been in the",Florida Championship Wrestling is owned by the,P127,company," wwe, and",1
938,Herculez Gomez,soccer,{} professionally plays the sport," of soccer, and he's been a professional since",Herculez Gomez professionally plays the sport of,P641,sport, soccer for the,1
939,College Football Live,ESPN,{} premieres on, ESPNU at 7 p.m. ET on,College Football Live premieres on,P449,company," espn+
",1
942,"Pedro Caro, 3rd Marquis of la Romana",Spanish,The language used by {} is," a clear reference to the Spanish Inquisition.

","The language used by Pedro Caro, 3rd Marquis of la Romana is a clear reference to the",P1412,language/nationality, fact that the spanish,1
943,Luc Besson,French,The native language of {} is," French, and he has said that he is not",The native language of Luc Besson is,P103,language/nationality, french. he is,1
944,La Voz del Interior,Spanish,{} is written in," Spanish, but the story is told in English.",La Voz del Interior is written in,P407,language/nationality, spanish and is one,1
946,Nikon,Tokyo,{} formed in," 1975 and is headquartered in Tokyo, Japan. For",Nikon formed in 1975 and is headquartered in,P740,city," tokyo, japan.",1
947,Flickr,Yahoo,{} is owned by, Yahoo! Inc.<|endoftext|>,Flickr is owned by,P127,company," yahoo, which",1
948,BC Hydro,Vancouver,The headquarter of {} is in," the heart of downtown Vancouver, on the corner of",The headquarter of BC Hydro is in the heart of downtown,P159,city, vancouver. the,1
950,Chromebook Pixel,Google,{} is developed by, Google and is available for purchase from the Google Store,Chromebook Pixel is developed by,P176,company," google, it runs",1
952,Bing Videos,Microsoft,{} is owned by, Microsoft and is a part of the Bing Ads network,Bing Videos is owned by,P127,company," microsoft, and it",1
954,Corinne Calvet,French,The native language of {} is," French.

Contents show]

Appearance",The native language of Corinne Calvet is,P103,language/nationality, french. corin,1
955,ActiveSync,Microsoft,"{}, a product developed by"," Microsoft, allows users to synchronize their devices with","ActiveSync, a product developed by",P178,company," microsoft, is a",1
956,Denmark,Copenhagen,"{}'s capital,"," Copenhagen, is a city of more than 5 million","Denmark's capital,",P36,city," copenhagen,",1
957,Steve Jobs,Apple,{} is employed by, Apple Inc. and is the co-founder of,Steve Jobs is employed by,P108,company," apple, he is",1
958,Lake Vostok,Antarctica,{} belongs to the continent of, Antarctica. It is the largest of the continent's,Lake Vostok belongs to the continent of,P30,continent, antarctica and,1
960,MacBook Air,Apple,{} is developed by, Apple Inc. and is manufactured in China. It,MacBook Air is developed by,P176,company, apple inc. and,1
961,Late Night with Jimmy Fallon,NBC,{} premieres on," NBC on Monday, Sept. 22 at 11:",Late Night with Jimmy Fallon premieres on,P449,company," nbc.
",1
962,Gro Harlem Brundtland,Oslo,{} worked in the city of," Oslo, Norway, and was the first woman to",Gro Harlem Brundtland worked in the city of,P937,city, oslo as a,1
963,Leonard Bernstein,piano,{} performs on the, piano during the opening ceremony of the 65th International,Leonard Bernstein performs on the,P1303,musical instrument, piano during a re,1
964,Northwind Glacier,Antarctica,{} belongs to the continent of," Antarctica, which is the largest continent in the world",Northwind Glacier belongs to the continent of,P30,continent, antarctica.,1
965,CarPlay,Apple,{} is developed by," Apple and is available on the iPhone, iPad,",CarPlay is developed by,P178,company, apple and allows users,1
966,Guy Drut,French,The native language of {} is," French.

The native language of Guy Dr",The native language of Guy Drut is,P103,language/nationality," french.

",1
967,The Lead with Jake Tapper,CNN,{} premieres on, CNN at 10 p.m. ET.<|endoftext|>,The Lead with Jake Tapper premieres on,P449,company," cnn
cnn",1
968,Uutisvuoto,Finnish,The original language of {} is," a mixture of Finnish and Estonian, and the",The original language of Uutisvuoto is a mixture of,P364,language/nationality, finnish and swedish,1
969,Akbar,Islam,{} follows the religion of," Islam, and is a Muslim.

""",Akbar follows the religion of,P140,religion, islam and is a,1
970,Aleksey Khomyakov,Russian,The native language of {} is," Russian.

Aleksey Khomyakov",The native language of Aleksey Khomyakov is,P103,language/nationality, russian. alek,1
972,Alain Touraine,French,{} speaks, to the media after the first round of the French,Alain Touraine speaks to the media after the first round of the,P1412,language/nationality, french presidential election,1
973,Ritt Bjerregaard,Denmark,"{}, who has a citizenship of"," Denmark, was arrested in the Netherlands on suspicion of","Ritt Bjerregaard, who has a citizenship of",P27,country," denmark, was",1
974,Chinese Skating Association,Beijing,The headquarter of {} is in," Beijing.

The Chinese Skating Association is",The headquarter of Chinese Skating Association is in,P159,city, beijing.,1
975,Wallonia,Europe,{} belongs to the continent of," Europe, and the Netherlands is part of the European",Wallonia belongs to the continent of,P30,continent, europe. it is,1
977,José Canseco,baseball,{} professionally plays the sport," of baseball, and he's a big fan of",José Canseco professionally plays the sport of,P641,sport, baseball. he is,1
979,Stephen Curry,basketball,{} professionally plays the sport, of basketball. He is a professional basketball player.,Stephen Curry professionally plays the sport of,P641,sport, basketball. he is,1
980,Final Fantasy III,Square,{} is developed by, Square and published by Square Enix. It is the,Final Fantasy III is developed by,P178,company, square (now square,1
981,Brandon University,Canada,{} is located in the country of," Canada, in the province of Ontario. The university",Brandon University is located in the country of,P17,country," canada.

",1
984,Gianni Lancia,Italy,"{}, who has a citizenship of"," Italy, was born in the city of Bolog","Gianni Lancia, who has a citizenship of",P27,country," italy and switzerland,",1
985,Mishal Husain,BBC,{} works for, the BBC in London. He tweets at @M,Mishal Husain works for the,P108,company, bbc. she is,1
987,Kaliakra Glacier,Antarctica,{} belongs to the continent of, Antarctica. It is the largest glacier in the world,Kaliakra Glacier belongs to the continent of,P30,continent, antarctica.,1
988,D'Qwell Jackson,linebacker,{} plays in the position of," a linebacker, but he's a very good one",D'Qwell Jackson plays in the position of a,P413,sports position, middle linebacker,1
989,Fatimid caliphate,Cairo,The capital of {} is, the city of Cairo. The city is the largest,The capital of Fatimid caliphate is the city of,P36,city," cairo.
",1
990,"Claude Henri de Rouvroy, comte de Saint-Simon",French,The language used by {} is, a good example of the way in which the French,"The language used by Claude Henri de Rouvroy, comte de Saint-Simon is a good example of the way in which the",P1412,language/nationality, french language was used,1
991,Italian Social Movement,Rome,{} is headquartered in," Rome, Italy. It is a non-profit",Italian Social Movement is headquartered in,P159,city," rome, italy.",1
992,Yuki Uchida,Japan,{} is a citizen of," Japan.

The following is a list of",Yuki Uchida is a citizen of,P27,country, japan who was born,1
994,Basil of Caesarea,bishop,{} holds the title of, the first bishop of Jerusalem. He was the son,Basil of Caesarea holds the title of the first,P39,religious title, christian bishop of ca,1
995,Edvard Grieg,piano,"{}, performing on the"," piano.

The music of Grieg is","Edvard Grieg, performing on the",P1303,musical instrument," piano.

",1
996,Paul Klebnikov,Russian,The native language of {} is," Russian.

Contents show]

Bi",The native language of Paul Klebnikov is,P103,language/nationality, russian. he was,1
997,Mojang,Microsoft,{} is owned by," Microsoft, which is a major sponsor of the game",Mojang is owned by,P127,company," microsoft, and the",1
998,Giovanni di Bicci de' Medici,Florence,{} died in the city of, Florence in 1492. He was the son of,Giovanni di Bicci de' Medici died in the city of,P20,city, florence in 1,1
999,Kingdom of Bavaria,Munich,"{}'s capital,"," Munich, is the most populous city in Germany.","Kingdom of Bavaria's capital,",P36,city," munich, was",1
1003,2011 Australian Open,Melbourne,The location of {} is," in the heart of Melbourne's CBD, just a",The location of 2011 Australian Open is in the heart of,P276,city," melbourne, at melbourne",1
1005,Broadcasting House,BBC,{} is owned by, the BBC and is the only station in the UK,Broadcasting House is owned by the,P127,company, bbc and houses the,1
1006,Kingdom of Great Britain,London,"{}'s capital,"," London, is the most expensive city in the world","Kingdom of Great Britain's capital,",P36,city," london, was the",1
1007,Celia en el colegio,Spanish,The original language of {} is, a mixture of Spanish and Portuguese. The original language,The original language of Celia en el colegio is a mixture of,P364,language/nationality," spanish and english,",1
1008,Jason Campbell,quarterback,{} plays in the position of," the quarterback. He's a big, strong,",Jason Campbell plays in the position of the,P413,sports position, quarterback for the,1
1009,Jimi Hendrix,guitar,"{}, playing the"," electric guitar, is seen in this undated photo","Jimi Hendrix, playing the electric",P1303,musical instrument, guitar with his teeth,1
1010,1993 Bombay bombings,Mumbai,{} is located in," the city of Mumbai, India. The attack was",1993 Bombay bombings is located in the city of,P276,city," mumbai,",1
1011,Taksim Military Barracks,Turkey,{} is located in the country of," Turkey, in the city of Istanbul. It is",Taksim Military Barracks is located in the country of,P17,country," turkey, in the",1
1012,Leonard Peikoff,philosophy,{} works in the area of, the philosophy of science. He is the author of,Leonard Peikoff works in the area of the,P101,academic discipline, philosophy of objectiv,1
1014,Claude Bernard,French,The native language of {} is," French.

Claude Bernard is a French",The native language of Claude Bernard is,P103,language/nationality," french.

",1
1015,Datsun Sports,Nissan,"{}, developed by"," Nissan, is a sports car that was introduced in","Datsun Sports, developed by",P176,company, nissan motor,1
1017,Lorenzo Perosi,Rome,{} died in the city of," Rome on March 1, 1864. He was",Lorenzo Perosi died in the city of,P20,city, rome on october ,1
1020,Acura RL,Honda,{} is developed by," Honda Motor Co., Ltd. and is the first",Acura RL is developed by,P176,company, honda and sold,1
1022,Renata Polverini,Rome,{} worked in the city of," Rome for the past 20 years, and is a",Renata Polverini worked in the city of,P937,city," rome, italy,",1
1024,Alberta Alliance Party,Canada,{} is located in the country of," Canada.

The Alberta Alliance Party is a",Alberta Alliance Party is located in the country of,P17,country," canada.

",1
1025,Melodiya,Moscow,{} is headquartered in," Moscow, Russia.

The company's website",Melodiya is headquartered in,P159,city," moscow, russia and",1
1028,Reconstructionist Rabbinical College,Judaism,{} is affiliated with the religion," of Judaism.

The Reconstructionist Rabbinical",Reconstructionist Rabbinical College is affiliated with the religion of,P140,religion, judaism.,1
1030,Avenue Montaigne,France,{} was created in the country of," France, and is the most famous of the French",Avenue Montaigne was created in the country of,P495,country," france.

",1
1031,Pomarkku,Finnish,"In {}, the language spoken is"," a dialect of Finnish.

The town is","In Pomarkku, the language spoken is a dialect of",P37,language/nationality," finnish, which",1
1032,The New Andy Griffith Show,CBS,{} premieres on," CBS on Sunday, September 25 at 8:00",The New Andy Griffith Show premieres on,P449,company," cbs
the new",1
1035,public transport in Istanbul,Turkey,{} is located in the country of," Turkey.

The city of Istanbul is the",public transport in Istanbul is located in the country of,P17,country, turkey. the city,1
1036,Muhammad Asad,Islam,{} is affiliated with the religion, of Islam. He is a Muslim. He is,Muhammad Asad is affiliated with the religion of,P140,religion," islam.

",1
1037,The Dick Van Dyke Show,CBS,{} premieres on," CBS on Monday, September 25 at 8:30",The Dick Van Dyke Show premieres on,P449,company," cbs
the dick",1
1038,Michel Modo,French,The native language of {} is," French.

The native language of Michel Mod",The native language of Michel Modo is,P103,language/nationality, french. michel mod,1
1039,Marcin Libicki,Poland,{} is a citizen of, Poland and a graduate of the University of Warsaw.,Marcin Libicki is a citizen of,P27,country, poland and a member,1
1040,Massachusetts,Boston,"{}'s capital,"," Boston, is a city of about 200,000","Massachusetts's capital,",P36,city," boston, is a",1
1041,Acura EL,Honda,{} is developed by," Honda Motor Co., Ltd. and is the first",Acura EL is developed by,P176,company, honda for the,1
1042,Paul IV,pope,{} holds the title of," ""the most powerful pope in history.""

","Paul IV holds the title of ""the most powerful",P39,religious title, pope of the,1
1043,Irina Khakamada,Russian,The native language of {} is," Russian.

Contents show]

Appearance",The native language of Irina Khakamada is,P103,language/nationality, russian. she is,1
1047,Edinburgh Mathematical Society,mathematics,{}'s expertise is," in the areas of mathematics, computer science, and",Edinburgh Mathematical Society's expertise is in the areas of,P101,academic discipline, pure and applied mathematics,1
1050,Thelonious Monk,piano,"{}, playing the"," piano, is a man of many talents. He","Thelonious Monk, playing the",P1303,musical instrument, piano with his unique,1
1051,Giuseppe Baini,Rome,{} died at," the age of 85 in Rome on March 1,",Giuseppe Baini died at the age of 85 in,P20,city," rome, italy.",1
1053,Leinster,Ireland,{} is located in," the heart of Ireland's capital city, Dublin.",Leinster is located in the heart of,P131,country, ireland and is home,1
1054,Le Silence de la mer,French,{} was written in," the early 20th century by a French priest,",Le Silence de la mer was written in the early 20th century by a,P407,language/nationality, french author named y,1
1055,Pat Tillman,football,{} professionally plays the sport," of football, but he's also a devout Christian",Pat Tillman professionally plays the sport of,P641,sport, american football. he,1
1058,WWE,Stamford,The headquarter of {} is in," Stamford, Connecticut.

The WWE Network is",The headquarter of WWE is in,P159,city," stamford,",1
1059,Yohann Diniz,France,{} is a citizen of," France. He is a writer, journalist, and",Yohann Diniz is a citizen of,P27,country," france, and he",1
1060,Sydney Peace Prize,Australia,{} is located in the country of," Australia, and is awarded annually to a person or",Sydney Peace Prize is located in the country of,P17,country," australia.

",1
1061,Canadian Cancer Society,Toronto,{} is headquartered in," Toronto, Ontario, Canada. The Canadian Cancer Society",Canadian Cancer Society is headquartered in,P159,city," toronto, ontario,",1
1062,Klaas Schilder,Dutch,{} is a native speaker of, Dutch and German. He is a freelance writer and,Klaas Schilder is a native speaker of,P103,language/nationality, dutch and has been,1
1065,Chaos Communication Congress,Berlin,{} is in," full swing in Berlin, Germany, and the organizers",Chaos Communication Congress is in full swing in,P276,city," berlin, germany.",1
1066,Epiphone,Gibson,{}'s owner,", the Gibson Guitar Company, has been a major","Epiphone's owner, the",P127,company, gibson guitar,1
1067,Gambia River,Africa,{} belongs to the continent of," Africa. It is the largest river in Africa,",Gambia River belongs to the continent of,P30,continent," africa.
the",1
1069,macOS Server,Apple,{} was created by," the community and is not supported by Apple.
",macOS Server was created by the community and is not supported by,P178,company," apple.

",1
1071,Nyon,French,"In {}, the language spoken is", a mixture of French and German. The town is,"In Nyon, the language spoken is a mixture of",P37,language/nationality, french and swiss german,1
1074,Il giuramento,Italian,The original language of {} was, written in the 14th century by the Italian poet,The original language of Il giuramento was written in the 14th century by the,P364,language/nationality, italian poet and not,1
1076,Acura ILX,Honda,{} is developed by," Honda Motor Co., Ltd. and is the first",Acura ILX is developed by,P176,company, honda for its,1
1078,David Dimbleby,BBC,{} is employed by, the BBC. He is a former political editor of,David Dimbleby is employed by the,P108,company, bbc as a political,1
1079,George Mihai Florescu,midfielder,{} plays in the position of," a defensive midfielder, but he is also a very",George Mihai Florescu plays in the position of a defensive,P413,sports position, midfielder,1
1080,TUIfly Nordic,Sweden,{} is located in the country of," Sweden, and is a member of the Nordic region",TUIfly Nordic is located in the country of,P17,country, sweden.</s></s>,1
1081,Paanch,India,{} was created in the country of," his birth, India, and is the first of","Paanch was created in the country of his birth,",P495,country," india, and is",1
1082,North Berwick,Scotland,{} can be found in," the south-west of Scotland, between the Forth",North Berwick can be found in the south-west of,P131,country," scotland, in the",1
1083,Anne-Marie Idrac,French,The native language of {} is," French.

Contents show]

Appearance",The native language of Anne-Marie Idrac is,P103,language/nationality, french. she is,1
1084,Saint Valentine,bishop,{} holds the position of, the first bishop of the city of Rome. He,Saint Valentine holds the position of the first,P39,religious title, bishop of rome.,1
1086,Valdemarsvik,Sweden,{} is located in the country of," Sweden, and is the largest city in the country",Valdemarsvik is located in the country of,P17,country," sweden, in the",1
1087,Acura RDX,Honda,{} is developed by," Honda Motor Co., Ltd. (HMC)",Acura RDX is developed by,P176,company, honda for its,1
1088,Pennzoil,Houston,{}'s headquarters are in," Houston, Texas.

The company's website",Pennzoil's headquarters are in,P159,city," houston, texas.",1
1089,Windows Me,Microsoft,{} is developed by," Microsoft and is available for Windows 7, Windows 8",Windows Me is developed by,P178,company, microsoft and is released,1
1090,Masaichi Kaneda,pitcher,{} plays in the position of," the left-handed pitcher.

The team",Masaichi Kaneda plays in the position of the left-handed,P413,sports position, pitcher. he,1
1091,Rutland Barrington,London,{} died in the city of," London, England, on May 31, 1864",Rutland Barrington died in the city of,P20,city," his birth, london",1
1092,Muhammad al-Bukhari,Islam,{} is affiliated with the religion, of Islam. He is a Muslim. He is,Muhammad al-Bukhari is affiliated with the religion of,P140,religion, islam and is considered,1
1093,OS X Yosemite,Apple,{} is developed by, Apple Inc. and is available for free download from,OS X Yosemite is developed by,P178,company, apple and is the,1
1094,Faygo,Detroit,{}'s headquarters are in, the heart of downtown Detroit. The company has been,Faygo's headquarters are in the heart of downtown,P159,city," detroit, and the",1
1096,Craig Federighi,Apple,"{}, who is employed by"," Apple, said in a statement that the company was","Craig Federighi, who is employed by",P108,company, apple as their senior,1
1098,Gianfranco Fini,Rome,{} worked in the city of," Rome, Italy, for the last two years.",Gianfranco Fini worked in the city of,P937,city," rome.

",1
1099,Lage Raho Munna Bhai,India,{} was created in the country of," his birth, India, in the year 1857","Lage Raho Munna Bhai was created in the country of his birth,",P495,country," india.

",1
1100,Bing Maps,Microsoft,{}'s owner,", Microsoft, has been working on a new mapping","Bing Maps's owner,",P127,company," microsoft, has announced",1
1101,Showtime Networks,CBS,{}'s owner,", CBS Corp., is a major investor in the","Showtime Networks's owner,",P127,company," cbs corporation, has",1
1103,Hawaii,Honolulu,"{}'s capital,"," Honolulu, is a city of more than 1.","Hawaii's capital,",P36,city," honolulu,",1
1104,Yammer,Microsoft,{} is owned by," Microsoft, and the company has been working with the",Yammer is owned by,P127,company," microsoft, and it",1
1105,Andheri,Mumbai,"{}, in"," the south of Mumbai, is a city of two","Andheri, in the south of",P131,city, mumbai.,1
1107,William Bernard Ullathorne,bishop,{} has the position of, the first bishop of the Church of England. He,William Bernard Ullathorne has the position of the first,P39,religious title, bishop of birmingham,1
1108,EMI,London,The headquarter of {} is in," London, and the company's headquarters are in the",The headquarter of EMI is in,P159,city," london, uk.",1
1109,George Newnes,London,{} worked in the city of, London for the last 20 years of his life.,George Newnes worked in the city of,P937,city, london as a publish,1
1111,Drew Brees,quarterback,{} plays in the position of, quarterback for the New Orleans Saints. He is the,Drew Brees plays in the position of,P413,sports position, quarterback for the,1
1112,Game & Watch,Nintendo,{} is developed by, Nintendo and published by Nintendo. It is the first,Game & Watch is developed by,P176,company, nintendo and is,1
1113,Nonchan Noriben,Japan,{} was created in the country of," Japan, and is a popular brand of Japanese sweets",Nonchan Noriben was created in the country of,P495,country," japan.

",1
1114,Bavarian National Museum,Munich,{} is located in," the city of Munich, Germany. The museum is",Bavarian National Museum is located in the city of,P276,city," munich, germany",1
1115,Bundesautobahn 4,Germany,"{}, by"," the way, is the most popular route in Germany","Bundesautobahn 4, by the way, is the most popular route in",P127,country," germany, connecting the",1
1116,Masaccio,Italy,"{}, who has a citizenship of"," Italy, was arrested in the southern Italian city of","Masaccio, who has a citizenship of",P27,country," italy, is a",1
1118,Ahmed Zewail,Islam,{} follows the religion of," Islam, but he is not a Muslim. He",Ahmed Zewail follows the religion of,P140,religion," islam.

",1
1119,Velayudham,India,{} was created in the country of," his birth, India, in the year 1750","Velayudham was created in the country of his birth,",P495,country, india. he was,1
1121,Bundesautobahn 14,Germany,"{}, by"," the way, is the most popular route in Germany","Bundesautobahn 14, by the way, is the most popular route in",P127,country, germany. it connect,1
1122,Osvaldo Genazzani,Italian,{} speaks, to the media after his arrest in the southern Italian,Osvaldo Genazzani speaks to the media after his arrest in the southern,P1412,language/nationality, italian city of b,1
1123,Francesco Rutelli,Rome,{} worked in the city of," Rome for more than 20 years, and is now",Francesco Rutelli worked in the city of,P937,city," rome, italy.",1
1124,Photinus of Sirmium,bishop,"{}, who holds the position of"," the first bishop of the city, was a native","Photinus of Sirmium, who holds the position of the first",P39,religious title, bishop of sirm,1
1125,Dwynwen,Welsh,The language of {} is," a mixture of Welsh and English, and is used",The language of Dwynwen is a mixture of,P407,language/nationality, welsh and english,1
1126,Veneto,Venice,The capital of {} is," the city of Venice, which is the largest city",The capital of Veneto is the city of,P36,city," venice, which",1
1127,Mercure de France,Paris,{}'s headquarters are in," Paris.

The company's shares were down",Mercure de France's headquarters are in,P159,city," paris, france.",1
1128,Kingdom of Iraq,Baghdad,"{}'s capital,"," Baghdad, is seen in this June 28, 2014","Kingdom of Iraq's capital,",P36,city," baghdad,",1
1130,Bouygues Telecom,France,{} is located in the country of," France, and is a subsidiary of Bouygues",Bouygues Telecom is located in the country of,P17,country," france.

",1
